N,base,cutoff,factor_ci95_high,factor_ci95_low,factor_probability,instance_id,mean_runtime_seconds,omitted_layers,order_ci95_high,order_ci95_low,order_probability,readout_bitflip_probability,replicates,shots
55,2,10,1.0,0.9433739770288436,1.0,55:2,8.844655349093955e-05,1,1.0,0.9433739770288436,1.0,0.0,64,16
55,2,9,1.0,0.9433739770288436,1.0,55:2,8.643230648885947e-05,2,1.0,0.9433739770288436,1.0,0.0,64,16
55,2,8,1.0,0.9433739770288436,1.0,55:2,8.614193939138204e-05,3,1.0,0.9433739770288436,1.0,0.0,64,16
55,2,11,1.0,0.9433739770288436,1.0,55:2,8.802014235698152e-05,0,1.0,0.9433739770288436,1.0,0.01,64,16
55,2,10,1.0,0.9433739770288436,1.0,55:2,8.661006722832099e-05,1,1.0,0.9433739770288436,1.0,0.01,64,16
55,2,9,1.0,0.9433739770288436,1.0,55:2,8.714977957424708e-05,2,1.0,0.9433739770288436,1.0,0.01,64,16
55,2,8,1.0,0.9433739770288436,1.0,55:2,8.741538113099523e-05,3,1.0,0.9433739770288436,1.0,0.01,64,16
65,3,13,1.0,0.9433739770288436,1.0,65:3,0.00010780855154735036,0,1.0,0.9433739770288436,1.0,0.0,64,4
65,3,12,1.0,0.9433739770288436,1.0,65:3,0.00010706247303460259,1,1.0,0.9433739770288436,1.0,0.0,64,4
65,3,11,1.0,0.9433739770288436,1.0,65:3,0.0001008242070383858,2,1.0,0.9433739770288436,1.0,0.0,64,4
65,3,10,1.0,0.9433739770288436,1.0,65:3,0.0001031841729854932,3,1.0,0.9433739770288436,1.0,0.0,64,4
65,3,13,1.0,0.9433739770288436,1.0,65:3,0.00010263544209010433,0,1.0,0.9433739770288436,1.0,0.01,64,4
65,3,12,1.0,0.9433739770288436,1.0,65:3,0.00010906576972047333,1,1.0,0.9433739770288436,1.0,0.01,64,4
65,3,11,1.0,0.9433739770288436,1.0,65:3,0.0001134121175709879,2,1.0,0.9433739770288436,1.0,0.01,64,4
65,3,10,1.0,0.9433739770288436,1.0,65:3,0.00010915885286522098,3,1.0,0.9433739770288436,1.0,0.01,64,4
65,3,13,1.0,0.9433739770288436,1.0,65:3,0.00012688870447163936,0,1.0,0.9433739770288436,1.0,0.0,64,8
65,3,12,1.0,0.9433739770288436,1.0,65:3,0.00011767191062972415,1,1.0,0.9433739770288436,1.0,0.0,64,8
65,3,11,1.0,0.9433739770288436,1.0,65:3,0.00012148243877163623,2,1.0,0.9433739770288436,1.0,0.0,64,8
65,3,10,1.0,0.9433739770288436,1.0,65:3,0.00011537503087311052,3,1.0,0.9433739770288436,1.0,0.0,64,8
65,3,13,1.0,0.9433739770288436,1.0,65:3,0.00011675781206577085,0,1.0,0.9433739770288436,1.0,0.01,64,8
65,3,12,1.0,0.9433739770288436,1.0,65:3,0.00011682301374094095,1,1.0,0.9433739770288436,1.0,0.01,64,8
65,3,11,1.0,0.9433739770288436,1.0,65:3,0.0001219250862050103,2,1.0,0.9433739770288436,1.0,0.01,64,8
65,3,10,1.0,0.9433739770288436,1.0,65:3,0.0001214218918903498,3,1.0,0.9433739770288436,1.0,0.01,64,8
65,3,13,1.0,0.9433739770288436,1.0,65:3,0.00014325389929581434,0,1.0,0.9433739770288436,1.0,0.0,64,16
65,3,12,1.0,0.9433739770288436,1.0,65:3,0.00014215365808922797,1,1.0,0.9433739770288436,1.0,0.0,64,16
65,3,11,1.0,0.9433739770288436,1.0,65:3,0.00014508008825941943,2,1.0,0.9433739770288436,1.0,0.0,64,16
65,3,10,1.0,0.9433739770288436,1.0,65:3,0.00014632944657932967,3,1.0,0.9433739770288436,1.0,0.0,64,16
65,3,13,1.0,0.9433739770288436,1.0,65:3,0.00014923763592378236,0,1.0,0.9433739770288436,1.0,0.01,64,16
65,3,12,1.0,0.9433739770288436,1.0,65:3,0.0001468514292355394,1,1.0,0.9433739770288436,1.0,0.01,64,16
65,3,11,1.0,0.9433739770288436,1.0,65:3,0.00014387303417606745,2,1.0,0.9433739770288436,1.0,0.01,64,16
65,3,10,1.0,0.9433739770288436,1.0,65:3,0.00014676819228043314,3,1.0,0.9433739770288436,1.0,0.01,64,16
77,8,13,1.0,0.9433739770288436,1.0,77:8,0.00011397458547435235,0,1.0,0.9433739770288436,1.0,0.0,64,4
77,8,12,1.0,0.9433739770288436,1.0,77:8,0.00011113796063000336,1,1.0,0.9433739770288436,1.0,0.0,64,4
77,8,11,1.0,0.9433739770288436,1.0,77:8,0.00010514448149478994,2,1.0,0.9433739770288436,1.0,0.0,64,4
77,8,10,1.0,0.9433739770288436,1.0,77:8,0.0001043814918375574,3,1.0,0.9433739770288436,1.0,0.0,64,4
77,8,13,1.0,0.9433739770288436,1.0,77:8,0.00010388939153926913,0,1.0,0.9433739770288436,1.0,0.01,64,4
77,8,12,1.0,0.9433739770288436,1.0,77:8,0.00010271870087308343,1,1.0,0.9433739770288436,1.0,0.01,64,4
77,8,11,1.0,0.9433739770288436,1.0,77:8,0.00010801825555972755,2,1.0,0.9433739770288436,1.0,0.01,64,4
77,8,10,1.0,0.9433739770288436,1.0,77:8,0.00011000849372067023,3,1.0,0.9433739770288436,1.0,0.01,64,4
77,8,13,1.0,0.9433739770288436,1.0,77:8,0.00012306323151278775,0,1.0,0.9433739770288436,1.0,0.0,64,8
77,8,12,1.0,0.9433739770288436,1.0,77:8,0.00011862303654197603,1,1.0,0.9433739770288436,1.0,0.0,64,8
77,8,11,1.0,0.9433739770288436,1.0,77:8,0.00011970053310506046,2,1.0,0.9433739770288436,1.0,0.0,64,8
77,8,10,1.0,0.9433739770288436,1.0,77:8,0.00011612369053182192,3,1.0,0.9433739770288436,1.0,0.0,64,8
77,8,13,1.0,0.9433739770288436,1.0,77:8,0.00012016666551062372,0,1.0,0.9433739770288436,1.0,0.01,64,8
77,8,12,1.0,0.9433739770288436,1.0,77:8,0.00011489646203699522,1,1.0,0.9433739770288436,1.0,0.01,64,8
77,8,11,1.0,0.9433739770288436,1.0,77:8,0.00011723900570359547,2,1.0,0.9433739770288436,1.0,0.01,64,8
77,8,10,1.0,0.9433739770288436,1.0,77:8,0.0001154570454673376,3,1.0,0.9433739770288436,1.0,0.01,64,8
77,8,13,1.0,0.9433739770288436,1.0,77:8,0.00014291020852397196,0,1.0,0.9433739770288436,1.0,0.0,64,16
77,8,12,1.0,0.9433739770288436,1.0,77:8,0.00014376957733475138,1,1.0,0.9433739770288436,1.0,0.0,64,16
77,8,11,1.0,0.9433739770288436,1.0,77:8,0.0001430878328392282,2,1.0,0.9433739770288436,1.0,0.0,64,16
77,8,10,1.0,0.9433739770288436,1.0,77:8,0.00013874016804038547,3,1.0,0.9433739770288436,1.0,0.0,64,16
77,8,13,1.0,0.9433739770288436,1.0,77:8,0.00014723631647939328,0,1.0,0.9433739770288436,1.0,0.01,64,16
77,8,12,1.0,0.9433739770288436,1.0,77:8,0.00014518950411002152,1,1.0,0.9433739770288436,1.0,0.01,64,16
77,8,11,1.0,0.9433739770288436,1.0,77:8,0.00014690363786939997,2,1.0,0.9433739770288436,1.0,0.01,64,16
77,8,10,1.0,0.9433739770288436,1.0,77:8,0.00014681761422252748,3,1.0,0.9433739770288436,1.0,0.01,64,16
91,9,13,0.056626022971156334,0.0,0.0,91:9,0.00010172982729272917,0,1.0,0.9433739770288436,1.0,0.0,64,4
91,9,12,0.056626022971156334,0.0,0.0,91:9,0.00010332495730835944,1,1.0,0.9433739770288436,1.0,0.0,64,4
91,9,11,0.056626022971156334,0.0,0.0,91:9,0.0001101732523238752,2,1.0,0.9433739770288436,1.0,0.0,64,4
91,9,10,0.056626022971156334,0.0,0.0,91:9,0.0001090657533495687,3,1.0,0.9433739770288436,1.0,0.0,64,4
91,9,13,0.056626022971156334,0.0,0.0,91:9,0.00010898831169470213,0,0.9972365292495986,0.9166570109970937,0.984375,0.01,64,4
91,9,12,0.056626022971156334,0.0,0.0,91:9,0.00011062503290304448,1,0.9972365292495986,0.9166570109970937,0.984375,0.01,64,4
91,9,11,0.056626022971156334,0.0,0.0,91:9,0.00010585222480585799,2,0.9972365292495986,0.9166570109970937,0.984375,0.01,64,4
91,9,10,0.056626022971156334,0.0,0.0,91:9,0.0001035812765621813,3,0.9972365292495986,0.9166570109970937,0.984375,0.01,64,4
91,9,13,0.056626022971156334,0.0,0.0,91:9,0.00011242704567848705,0,1.0,0.9433739770288436,1.0,0.0,64,8
91,9,12,0.056626022971156334,0.0,0.0,91:9,0.0001183020413009217,1,1.0,0.9433739770288436,1.0,0.0,64,8
91,9,11,0.056626022971156334,0.0,0.0,91:9,0.00011279099453531671,2,1.0,0.9433739770288436,1.0,0.0,64,8
91,9,10,0.056626022971156334,0.0,0.0,91:9,0.00010897452557401266,3,1.0,0.9433739770288436,1.0,0.0,64,8
91,9,13,0.056626022971156334,0.0,0.0,91:9,0.00011299606558168307,0,1.0,0.9433739770288436,1.0,0.01,64,8
91,9,12,0.056626022971156334,0.0,0.0,91:9,0.00011055150025640614,1,1.0,0.9433739770288436,1.0,0.01,64,8
91,9,11,0.056626022971156334,0.0,0.0,91:9,0.00010591855061647948,2,1.0,0.9433739770288436,1.0,0.01,64,8
91,9,10,0.056626022971156334,0.0,0.0,91:9,0.00011005535816366319,3,1.0,0.9433739770288436,1.0,0.01,64,8
91,9,13,0.056626022971156334,0.0,0.0,91:9,0.0001188443711725995,0,1.0,0.9433739770288436,1.0,0.0,64,16
91,9,12,0.056626022971156334,0.0,0.0,91:9,0.0001198424452013569,1,1.0,0.9433739770288436,1.0,0.0,64,16
91,9,11,0.056626022971156334,0.0,0.0,91:9,0.00012763869199261535,2,1.0,0.9433739770288436,1.0,0.0,64,16
91,9,10,0.056626022971156334,0.0,0.0,91:9,0.0001180116851173807,3,1.0,0.9433739770288436,1.0,0.0,64,16
91,9,13,0.056626022971156334,0.0,0.0,91:9,0.00012617119500646368,0,1.0,0.9433739770288436,1.0,0.01,64,16
91,9,12,0.056626022971156334,0.0,0.0,91:9,0.00011846034067275468,1,1.0,0.9433739770288436,1.0,0.01,64,16
91,9,11,0.056626022971156334,0.0,0.0,91:9,0.00013604105697595514,2,1.0,0.9433739770288436,1.0,0.01,64,16
91,9,10,0.056626022971156334,0.0,0.0,91:9,0.00012797717681678478,3,1.0,0.9433739770288436,1.0,0.01,64,16
