M,N,cutoff,factor_ci95_high,factor_ci95_low,factor_probability,lminus_ci95_high,lminus_ci95_low,lminus_probability,mean_lll_runtime_seconds,model,omitted_layers,replicates
16,133,0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016169784857993363,B_exact_finite_discrete_gaussian,3,64
16,133,1,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016082545116660185,B_exact_finite_discrete_gaussian,2,64
16,133,2,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016201379694393836,B_exact_finite_discrete_gaussian,1,64
16,133,3,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016284108596664737,B_exact_finite_discrete_gaussian,0,64
32,133,0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016889414337128983,A_uniform_hard_box,4,64
32,133,1,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016771009195508668,A_uniform_hard_box,3,64
32,133,2,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016390553000746877,A_uniform_hard_box,2,64
32,133,3,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016488424635099364,A_uniform_hard_box,1,64
32,133,4,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0017227904081664747,A_uniform_hard_box,0,64
32,133,0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0017475273652962642,B_exact_finite_discrete_gaussian,4,64
32,133,1,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0017389830281899776,B_exact_finite_discrete_gaussian,3,64
32,133,2,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0017239960534425336,B_exact_finite_discrete_gaussian,2,64
32,133,3,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0017301067337029963,B_exact_finite_discrete_gaussian,1,64
32,133,4,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.001714498041110346,B_exact_finite_discrete_gaussian,0,64
8,161,0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0015830319207452703,A_uniform_hard_box,2,64
8,161,1,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0015582611413265113,A_uniform_hard_box,1,64
8,161,2,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0015700553749411483,A_uniform_hard_box,0,64
8,161,0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0015718840804765932,B_exact_finite_discrete_gaussian,2,64
8,161,1,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0015715429681222304,B_exact_finite_discrete_gaussian,1,64
8,161,2,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.001571062593939132,B_exact_finite_discrete_gaussian,0,64
16,161,0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016294036377075827,A_uniform_hard_box,3,64
16,161,1,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016361979232897284,A_uniform_hard_box,2,64
16,161,2,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.001621296849407372,A_uniform_hard_box,1,64
