N,base,compiled_cx,controlled_phase,cphase_gain,cphase_sigma,cutoff,cx_depolarizing_probability,depolarizing_mixing,distribution_certified,distribution_m_shot_bound,distribution_tv,exact_factor_acceptance_mass,exact_order_acceptance_mass,hellinger_affinity,hellinger_certified,hellinger_product_bound,instance_id,known_factors_used,known_order_used_by_decoder,loss_budget,noise_axis,noise_setting,noisy_factor_acceptance_mass,noisy_order_acceptance_mass,phase_modulus,phase_qubits,rz_bias,rz_sigma,shots,stochastic_setting,worst_case_certified,worst_case_m_shot_bound
35,2,150,66,0.0,0.0,11,0.001,0.8606433826830363,False,1.0,0.13368216420000228,0.8307307756478944,0.8307307756478944,0.9494027365894865,False,0.9000821800748943,35:2,False,False,0.05,cx_depolarizing,cx_depol_0p001,0.7944397656660873,0.7944397656660873,4096,12,0.0,0.0,16,False,True,0.0
35,2,150,66,0.0,0.0,11,0.005,0.4714787374216858,False,0.5070004393582976,0.5070004393582976,0.8307307756478944,0.8307307756478944,0.743031600731996,False,0.6692563337867246,35:2,False,False,0.05,cx_depolarizing,cx_depol_0p005,0.6930941798040018,0.6930941798040018,4096,12,0.0,0.0,1,False,True,0.0
35,2,150,66,0.0,0.0,11,0.005,0.4714787374216858,False,1.0,0.5070004393582976,0.8307307756478944,0.8307307756478944,0.743031600731996,False,0.8337805774291013,35:2,False,False,0.05,cx_depolarizing,cx_depol_0p005,0.6930941798040018,0.6930941798040018,4096,12,0.0,0.0,2,False,True,0.0
35,2,150,66,0.0,0.0,11,0.005,0.4714787374216858,False,1.0,0.5070004393582976,0.8307307756478944,0.8307307756478944,0.743031600731996,False,0.99567459455392,35:2,False,False,0.05,cx_depolarizing,cx_depol_0p005,0.6930941798040018,0.6930941798040018,4096,12,0.0,0.0,8,False,True,0.0
35,2,150,66,0.0,0.0,11,0.005,0.4714787374216858,False,1.0,0.5070004393582976,0.8307307756478944,0.8307307756478944,0.743031600731996,False,0.9999627427155509,35:2,False,False,0.05,cx_depolarizing,cx_depol_0p005,0.6930941798040018,0.6930941798040018,4096,12,0.0,0.0,16,False,True,0.0
35,2,150,66,0.0,0.0,11,0.01,0.22145178723886091,False,0.7468465582745143,0.7468465582745143,0.8307307756478944,0.8307307756478944,0.5493928225549842,False,0.8355641965313423,35:2,False,False,0.05,cx_depolarizing,cx_depol_0p010,0.6279825925718885,0.6279825925718885,4096,12,0.0,0.0,1,False,True,0.0
35,2,150,66,0.0,0.0,11,0.01,0.22145178723886091,False,1.0,0.7468465582745143,0.8307307756478944,0.8307307756478944,0.5493928225549842,False,0.9533609798790824,35:2,False,False,0.05,cx_depolarizing,cx_depol_0p010,0.6279825925718885,0.6279825925718885,4096,12,0.0,0.0,2,False,True,0.0
35,2,150,66,0.0,0.0,11,0.01,0.22145178723886091,False,1.0,0.7468465582745143,0.8307307756478944,0.8307307756478944,0.5493928225549842,False,0.9999655566658148,35:2,False,False,0.05,cx_depolarizing,cx_depol_0p010,0.6279825925718885,0.6279825925718885,4096,12,0.0,0.0,8,False,True,0.0
35,2,150,66,0.0,0.0,11,0.01,0.22145178723886091,False,1.0,0.7468465582745143,0.8307307756478944,0.8307307756478944,0.5493928225549842,False,0.9999999976273951,35:2,False,False,0.05,cx_depolarizing,cx_depol_0p010,0.6279825925718885,0.6279825925718885,4096,12,0.0,0.0,16,False,True,0.0
35,11,150,66,0.0,0.0,11,0.0,1.0,True,0.0,0.0,0.0,0.6666491685818337,1.0,True,0.0,35:11,False,False,0.05,baseline,baseline,0.0,0.6666491685818337,4096,12,0.0,0.0,1,False,True,0.0
