N,bounded_product_diversity_B2,bounded_relation_count_B2,candidate_pool,claim_augmented_norm_bound,known_factors_posthoc,method,relation_norm_bound_T,selected_bases,selected_pairs,selected_roots,selection_seed,selector_setup_factor_leak,subgroup_overlap_score
2747,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[41, 67]",complete_selector,28,"[4, 9, 841]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 29, ""base"": 841}]","[2, 3, 29]",2106470101,False,0.3636363636363636
2747,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[41, 67]",random_coprime_roots,28,"[49, 4, 961]","[{""root"": 7, ""base"": 49}, {""root"": 2, ""base"": 4}, {""root"": 31, ""base"": 961}]","[7, 2, 31]",2106570101,False,1.0
2747,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[41, 67]",regev_small_prime_roots,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2106670101,False,0.6666666666666666
2773,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[47, 59]",residue_deduplication_only,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2116170101,False,1.0
2773,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[47, 59]",short_relation_rejection_only,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2116270101,False,1.0
2773,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[47, 59]",subgroup_overlap_only,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2116370101,False,1.0
2773,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[47, 59]",complete_selector,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2116470101,False,1.0
2773,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[47, 59]",random_coprime_roots,28,"[961, 361, 1369]","[{""root"": 31, ""base"": 961}, {""root"": 19, ""base"": 361}, {""root"": 37, ""base"": 1369}]","[31, 19, 37]",2116570101,False,1.0
2773,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[47, 59]",regev_small_prime_roots,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2116670101,False,1.0
2867,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[47, 61]",residue_deduplication_only,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2126170101,False,1.0
2867,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[47, 61]",short_relation_rejection_only,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2126270101,False,1.0
2867,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[47, 61]",subgroup_overlap_only,28,"[4, 9, 841]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 29, ""base"": 841}]","[2, 3, 29]",2126370101,False,0.7333333333333334
2867,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[47, 61]",complete_selector,28,"[4, 9, 841]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 29, ""base"": 841}]","[2, 3, 29]",2126470101,False,0.7333333333333334
2867,0.856,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[47, 61]",random_coprime_roots,28,"[361, 121, 9]","[{""root"": 19, ""base"": 361}, {""root"": 11, ""base"": 121}, {""root"": 3, ""base"": 9}]","[19, 11, 3]",2126570101,False,0.6666666666666666
2867,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[47, 61]",regev_small_prime_roots,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2126670101,False,1.0
2881,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[43, 67]",residue_deduplication_only,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2136170101,False,0.5555555555555555
2881,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[43, 67]",short_relation_rejection_only,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2136270101,False,0.5555555555555555
2881,0.872,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[43, 67]",subgroup_overlap_only,28,"[4, 9, 49]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 7, ""base"": 49}]","[2, 3, 7]",2136370101,False,0.3333333333333333
2881,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[43, 67]",complete_selector,28,"[4, 9, 289]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 17, ""base"": 289}]","[2, 3, 17]",2136470101,False,0.3333333333333333
2881,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[43, 67]",random_coprime_roots,28,"[841, 121, 961]","[{""root"": 29, ""base"": 841}, {""root"": 11, ""base"": 121}, {""root"": 31, ""base"": 961}]","[29, 11, 31]",2136570101,False,0.3333333333333333
2881,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[43, 67]",regev_small_prime_roots,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2136670101,False,0.5555555555555555
2911,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[41, 71]",residue_deduplication_only,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2146170101,False,0.20000000000000004
2911,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[41, 71]",short_relation_rejection_only,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2146270101,False,0.20000000000000004
2911,0.896,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[41, 71]",subgroup_overlap_only,28,"[4, 289, 529]","[{""root"": 2, ""base"": 4}, {""root"": 17, ""base"": 289}, {""root"": 23, ""base"": 529}]","[2, 17, 23]",2146370101,False,0.11666666666666668
2911,0.952,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[41, 71]",complete_selector,28,"[4, 289, 961]","[{""root"": 2, ""base"": 4}, {""root"": 17, ""base"": 289}, {""root"": 31, ""base"": 961}]","[2, 17, 31]",2146470101,False,0.11666666666666668
2911,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[41, 71]",random_coprime_roots,28,"[1369, 841, 121]","[{""root"": 37, ""base"": 1369}, {""root"": 29, ""base"": 841}, {""root"": 11, ""base"": 121}]","[37, 29, 11]",2146570101,False,0.20000000000000004
2911,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[41, 71]",regev_small_prime_roots,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2146670101,False,0.20000000000000004
2993,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[41, 73]",residue_deduplication_only,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2156170101,False,0.4166666666666667
2993,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[41, 73]",short_relation_rejection_only,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2156270101,False,0.4166666666666667
