M,certified,cp_saving,cutoff,cutoff_cp,d,dimensionless_ratio,exact_cp,loss_budget,m,operator_tv_bound,q,selected_cutoff,selected_exact,two_qubit_saving
8,False,9,0,0,3,120.0,9,0.1,12,1.0,3,2,True,9
8,False,3,1,6,3,120.0,9,0.1,12,1.0,3,2,True,3
8,True,0,2,9,3,0.0,9,0.1,12,0.0,3,2,True,0
8,False,9,0,0,3,60.0,9,0.2,12,1.0,3,2,True,9
8,False,3,1,6,3,60.0,9,0.2,12,1.0,3,2,True,3
8,True,0,2,9,3,0.0,9,0.2,12,0.0,3,2,True,0
8,False,9,0,0,3,480.0,9,0.05,24,1.0,3,2,True,9
8,False,3,1,6,3,480.0,9,0.05,24,1.0,3,2,True,3
8,True,0,2,9,3,0.0,9,0.05,24,0.0,3,2,True,0
8,False,9,0,0,3,240.0,9,0.1,24,1.0,3,2,True,9
8,False,3,1,6,3,240.0,9,0.1,24,1.0,3,2,True,3
8,True,0,2,9,3,0.0,9,0.1,24,0.0,3,2,True,0
8,False,9,0,0,3,120.0,9,0.2,24,1.0,3,2,True,9
8,False,3,1,6,3,120.0,9,0.2,24,1.0,3,2,True,3
8,True,0,2,9,3,0.0,9,0.2,24,0.0,3,2,True,0
16,False,18,0,0,3,80.0,18,0.05,4,1.0,4,3,True,18
16,False,9,1,9,3,80.0,18,0.05,4,1.0,4,3,True,9
16,False,3,2,15,3,80.0,18,0.05,4,1.0,4,3,True,3
16,True,0,3,18,3,0.0,18,0.05,4,0.0,4,3,True,0
16,False,18,0,0,3,40.0,18,0.1,4,1.0,4,3,True,18
16,False,9,1,9,3,40.0,18,0.1,4,1.0,4,3,True,9
16,False,3,2,15,3,40.0,18,0.1,4,1.0,4,3,True,3
16,True,0,3,18,3,0.0,18,0.1,4,0.0,4,3,True,0
16,False,18,0,0,3,20.0,18,0.2,4,1.0,4,3,True,18
16,False,9,1,9,3,20.0,18,0.2,4,1.0,4,3,True,9
16,False,3,2,15,3,20.0,18,0.2,4,1.0,4,3,True,3
16,True,0,3,18,3,0.0,18,0.2,4,0.0,4,3,True,0
16,False,18,0,0,3,160.0,18,0.05,8,1.0,4,3,True,18
16,False,9,1,9,3,160.0,18,0.05,8,1.0,4,3,True,9
16,False,3,2,15,3,160.0,18,0.05,8,1.0,4,3,True,3
16,True,0,3,18,3,0.0,18,0.05,8,0.0,4,3,True,0
16,False,18,0,0,3,80.0,18,0.1,8,1.0,4,3,True,18
16,False,9,1,9,3,80.0,18,0.1,8,1.0,4,3,True,9
16,False,3,2,15,3,80.0,18,0.1,8,1.0,4,3,True,3
16,True,0,3,18,3,0.0,18,0.1,8,0.0,4,3,True,0
16,False,18,0,0,3,40.0,18,0.2,8,1.0,4,3,True,18
16,False,9,1,9,3,40.0,18,0.2,8,1.0,4,3,True,9
16,False,3,2,15,3,40.0,18,0.2,8,1.0,4,3,True,3
16,True,0,3,18,3,0.0,18,0.2,8,0.0,4,3,True,0
16,False,18,0,0,3,240.0,18,0.05,12,1.0,4,3,True,18
16,False,9,1,9,3,240.0,18,0.05,12,1.0,4,3,True,9
16,False,3,2,15,3,240.0,18,0.05,12,1.0,4,3,True,3
16,True,0,3,18,3,0.0,18,0.05,12,0.0,4,3,True,0
16,False,18,0,0,3,120.0,18,0.1,12,1.0,4,3,True,18
