algorithm,algorithm_is_shor,controlled_phase_saving,decoder_boundary_proxy,instance_id,measured_tv,noninferior,omitted_layers,register_bits,shots,split,task_difference,worst_case_certified
Regev,0.0,6.0,0.5129813174975404,55:B_exact_finite_discrete_gaussian:M16,0.1582274513814511,True,2.0,4.0,7.0,heldout,-0.0625,False
Regev,0.0,2.0,0.5201290770271201,55:B_exact_finite_discrete_gaussian:M16,0.0226330821180294,True,1.0,4.0,7.0,heldout,-0.015625,False
Regev,0.0,20.0,0.5166580312709846,55:A_uniform_hard_box:M32,0.6846711717648164,False,4.0,5.0,7.0,heldout,-0.421875,False
Regev,0.0,12.0,0.5198343965219706,55:A_uniform_hard_box:M32,0.4172504874939392,False,3.0,5.0,7.0,heldout,-0.328125,False
Regev,0.0,6.0,0.554724667076316,55:A_uniform_hard_box:M32,0.0987696668463438,False,2.0,5.0,7.0,heldout,-0.203125,False
Regev,0.0,2.0,0.6083602219184288,55:A_uniform_hard_box:M32,0.0115614947403641,True,1.0,5.0,7.0,heldout,-0.046875,False
Regev,0.0,20.0,0.5101297833275328,55:B_exact_finite_discrete_gaussian:M32,0.3648607277746113,False,4.0,5.0,7.0,heldout,-0.125,False
Regev,0.0,12.0,0.4961235506657527,55:B_exact_finite_discrete_gaussian:M32,0.2567607569203075,False,3.0,5.0,7.0,heldout,-0.140625,False
Regev,0.0,6.0,0.5301843290975676,55:B_exact_finite_discrete_gaussian:M32,0.0522819889040022,True,2.0,5.0,7.0,heldout,-0.046875,False
Regev,0.0,2.0,0.5165919169486444,55:B_exact_finite_discrete_gaussian:M32,0.0057483202944732,True,1.0,5.0,7.0,heldout,0.015625,False
Regev,0.0,6.0,0.5384615384615384,65:A_uniform_hard_box:M8,0.2031249999999999,False,2.0,3.0,7.0,heldout,-0.21875,False
Regev,0.0,2.0,0.5294117647058824,65:A_uniform_hard_box:M8,5.898059818321144e-17,True,1.0,3.0,7.0,heldout,0.0,False
Regev,0.0,6.0,0.5697001933196641,65:B_exact_finite_discrete_gaussian:M8,0.1515249284817296,False,2.0,3.0,7.0,heldout,-0.234375,False
Regev,0.0,2.0,0.25,65:B_exact_finite_discrete_gaussian:M8,5.551115123125783e-17,True,1.0,3.0,7.0,heldout,0.0,False
Regev,0.0,12.0,0.5583822384280641,65:A_uniform_hard_box:M16,0.4697201856149429,False,3.0,4.0,7.0,heldout,-0.46875,False
