N,batches,bounded_spectral_dimension_ci_high,bounded_spectral_dimension_ci_low,bounded_spectral_dimension_mean,covariance_effective_rank_ci_high,covariance_effective_rank_ci_low,covariance_effective_rank_mean,estimated_signal_energy_ci_high,estimated_signal_energy_ci_low,estimated_signal_energy_mean,joint_entropy_bits_ci_high,joint_entropy_bits_ci_low,joint_entropy_bits_mean,mean_pairwise_mutual_information_bits_ci_high,mean_pairwise_mutual_information_bits_ci_low,mean_pairwise_mutual_information_bits_mean,method,observed_support_size_ci_high,observed_support_size_ci_low,observed_support_size_mean,relation_separation_ci_high,relation_separation_ci_low,relation_separation_mean,selected_relation_rank_ci_high,selected_relation_rank_ci_low,selected_relation_rank_mean,shots_per_batch,top_is_relation_ci_high,top_is_relation_ci_low,top_is_relation_mean,top_yields_factor_ci_high,top_yields_factor_ci_low,top_yields_factor_mean,total_correlation_bits_ci_high,total_correlation_bits_ci_low,total_correlation_bits_mean
437,200,3.0,3.0,3.0,2.9649828258163673,2.9577716083045393,2.9613772170604533,0.19661970992555658,0.18042083888785634,0.18852027440670646,6.669372542285916,6.649812957677116,6.659592749981516,3.145782402641111,3.1277038694739607,3.136743136057536,squared_primes_deduplicated,108.5471869292335,107.5028130707665,108.025,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.783687935082662,7.758088572970273,7.770888254026468
437,200,3.0,3.0,3.0,2.9680716030865866,2.96203555165592,2.965053577371253,0.18857162628256904,0.1750157321328574,0.18179367920771322,6.914415388584013,6.903764826249596,6.909090107416804,2.8610282676096714,2.844885848898892,2.852957058254282,random_coprime_residues,122.64679784270953,122.00320215729047,122.325,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.535537883116221,7.512208681867533,7.523873282491877
437,200,2.0,2.0,2.0,2.957478039237754,2.9475976832662254,2.9525378612519897,1.7085828562500622,1.678028458753364,1.6933056575017131,6.666185814296657,6.645273603401565,6.655729708849111,3.15785011328083,3.1391929390215436,3.1485215261511867,random_coprime_squares,108.44490670448234,107.33509329551767,107.89,0.7731554964056878,0.7618422575710154,0.7674988769883516,1.0,1.0,1.0,128,1.0,0.9811546736227335,1.0,1.0,0.9811546736227335,1.0,7.804462936188105,7.777944307118724,7.791203621653414
437,200,3.0,3.0,3.0,2.9650583986730665,2.95865350537341,2.9618559520232384,0.18570828426502647,0.17135390025953137,0.17853109226227892,6.913683628657387,6.903048982659581,6.908366305658484,2.8634443565883143,2.8473631701009947,2.8554037633446545,dependency_aware,122.58611143763734,121.93388856236267,122.26,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.534847009881636,7.510163072717665,7.522505041299651
4199,200,3.0,3.0,3.0,2.9689353095507265,2.9632845912399723,2.9661099503953494,0.1857873035565774,0.1720372797422549,0.17891229164941616,6.9199948163022995,6.911562230333054,6.915778523317677,2.9401497909341936,2.9241587127865936,2.9321542518603936,notebook_squared_primes,122.9744108797241,122.4555891202759,122.715,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.542618132541284,7.519150688777726,7.530884410659505
4199,200,3.0,3.0,3.0,2.9713567895325936,2.965363091532637,2.9683599405326153,0.18306451241763783,0.1688098206061745,0.17593716651190616,6.920744089570639,6.910994631124036,6.915869360347338,2.940857365888839,2.925803790202448,2.9333305780456436,squared_primes_deduplicated,123.02873840813214,122.43126159186787,122.73,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.544426152887004,7.5207960579327136,7.532611105409859
4199,200,3.0,3.0,3.0,2.9718561809671233,2.9661786690630048,2.969017425015064,0.1865103923312544,0.17328123887884164,0.17989581560504803,6.981003795269982,6.975732576799486,6.978368186034734,2.7992017871343506,2.7835336756975773,2.791367731415964,random_coprime_residues,126.79124672080776,126.45875327919224,126.625,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.477468845942687,7.4534760246837735,7.46547243531323
4199,200,3.0,3.0,3.0,2.907099255333682,2.8943644261935937,2.9007318407636378,0.18696499293797866,0.17295473166893152,0.1799598623034551,6.818333001419628,6.803944857451738,6.811138929435683,3.175358888687065,3.1578976661485485,3.1666282774178067,random_coprime_squares,116.9114541695287,116.0685458304713,116.49,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.451599207422128,7.422013156436068,7.436806181929098
4199,200,3.0,3.0,3.0,2.9728587766252774,2.9673018832312446,2.970080329928261,0.18205596241505054,0.16861605900941337,0.17533601071223195,6.980603122337246,6.975431652076646,6.978017387206946,2.81200595714509,2.7977831926961954,2.8048945749206426,dependency_aware,126.75986575822152,126.43013424177848,126.595,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.471007819411159,7.448177189399426,7.459592504405292
7429,200,3.0,3.0,3.0,2.9729841085746345,2.9675039959794263,2.9702440522770304,0.1884377719143951,0.17535645709712178,0.18189711450575843,6.954461573462768,6.94652573805678,6.950493655759774,2.77628503234777,2.760502797565072,2.768393914956421,notebook_squared_primes,125.12307499419506,124.62692500580494,124.875,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.507284806087059,7.483403256521051,7.495344031304055
